Quantity Kind,QName,Dimension Symbol,Unit,QName,Unit Symbol,Same dimension symbol
Linear Momentum,quantity:LinearMomentum,L1M1T-1,Kilogram Meter Per Second,unit:KilogramMeterPerSecond,kg-m/s,
Linear Thermal Expansion,quantity:LinearThermalExpansion,L1O-1,Meter Per Kelvin,unit:MeterPerKelvin,m/K,
Linear Velocity,quantity:LinearVelocity,L1T-1,Meter Per Second,unit:MeterPerSecond,m/s,
Luminance,quantity:Luminance,L-2J1,Candela Per Square Meter,unit:CandelaPerSquareMeter,cd/m^2,
Luminous Flux,quantity:LuminousFlux,U1J1,Lumen,unit:Lumen,lm,
Magnetic Dipole Moment,quantity:MagneticDipoleMoment,L2I1,Joule Per Tesla,unit:JoulePerTesla,J/T,
Magnetic Field Strength,quantity:MagneticFieldStrength,L-1I1,Ampere Turn Per Meter,unit:AmpereTurnPerMeter,At/m,
Magnetic Flux,quantity:MagneticFlux,L2M1T-2I-1,Weber,unit:Weber,Wb,
Magnetic Flux Density,quantity:MagneticFluxDensity,M1T-2I-1,Tesla,unit:Tesla,T,
Magnetomotive Force,quantity:MagnetomotiveForce,U1I1,Ampere Turn,unit:AmpereTurn,At,
Mass Temperature,quantity:MassTemPerature,M1O1,Kilogram Kelvin,unit:KilogramKelvin,kg-K,
Mass Per Time,quantity:MassPerUnitTime,M1T-1,Kilogram Per Second,unit:KilogramPerSecond,kg/s,
Mass Per Unit Area,quantity:MassPerUnitArea,L-2M1,Kilogram Per Square Meter,unit:KilogramPerSquareMeter,kg/m^2,
Mass Per Unit Length,quantity:MassPerUnitLength,L-1M1,Kilogram Per Meter,unit:KilogramPerMeter,kg/m,
Molar Energy,quantity:MolarEnergy,L2M1T-2N-1,Joule Per Mole,unit:JoulePerMole,J/mol,
Molar Heat Capacity,quantity:MolarHeatCapacity,L2M1T-2O-1N-1,Joule Per Mole Kelvin,unit:JoulePerMoleKelvin,J/(mol-K),
Permeability,quantity:Permeability,L1M1T-2I-2,Henry Per Meter,unit:HenryPerMeter,H/m,
Permittivity,quantity:Permittivity,L-3M-1T4I2,Farad Per Meter,unit:FaradPerMeter,F/m,
Power,quantity:Power,L2M1T-3,Watt,unit:Watt,W,XXX
Power Per Angle,quantity:PowerPerAngle,U-2L2M1T-3,Watt Per steradian,unit:WattPerSteradian,W/sr,
